Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote,,Latitude,Longitude
160080,MERCYONE CLINTON MEDICAL CENTER,1410 NORTH 4TH STREET,CLINTON,IA,52732,CLINTON,(563) 244-5555,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,5,0,4,1,,8,4,0,4,0,,11,9,1,8,0,,8,8,,12,10,,,41.861629,-90.1891608
160083,MERCYONE DES MOINES MEDICAL CENTER,1111 6TH AVE,DES MOINES,IA,50314,POLK,(515) 247-3121,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,0,6,1,,8,8,3,5,0,,11,11,2,9,0,,8,8,,12,10,,,41.5986713,-93.6228884
160069,MERCYONE DUBUQUE MEDICAL CENTER,250 MERCY DRIVE,DUBUQUE,IA,52001,DUBUQUE,(563) 589-8000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,5,,7,7,0,7,0,,8,6,2,4,0,,11,7,1,6,0,,8,8,,12,9,,,42.492721,-90.6750809
161378,MERCYONE DYERSVILLE MEDICAL CENTER,1111 3RD STREET SW,DYERSVILLE,IA,52040,DUBUQUE,(563) 875-7101,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5,12,2,,,42.4756573,-91.1306537
161319,MERCYONE ELKADER MEDICAL CENTER,901 DAVIDSON STREET NW,ELKADER,IA,52043,CLAYTON,(563) 245-7000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5,12,4,,,42.86058,-91.417068
160032,MERCYONE NEWTON MEDICAL CENTER,204 N 4TH AVE E,NEWTON,IA,50208,JASPER,(641) 792-1273,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,Not Available,16,7,2,0,2,0,,8,1,0,1,0,,11,7,2,5,0,,8,8,,12,11,,,41.7034206,-93.0509917
160064,MERCYONE NORTH IOWA MEDICAL CENTER,1000 FOURTH STREET SW,MASON CITY,IA,50401,CERRO GORDO,(641) 428-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,0,7,0,,8,7,2,5,0,,11,11,0,9,2,,8,8,,12,10,,,43.1495907,-93.2166502
161338,MERCYONE OELWEIN MEDICAL CENTER,201 EIGHTH AVENUE SE,OELWEIN,IA,50662,FAYETTE,(319) 283-6000,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5,12,3,,,42.675448,-91.9022154
161300,MERCYONE PRIMGHAR MEDICAL CENTER,255 N WELCH AVENUE,PRIMGHAR,IA,51245,OBRIEN,(712) 957-2300,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5,12,3,,,43.0888211,-95.6235761
160153,MERCYONE SIOUXLAND MEDICAL CENTER,801 5TH ST,SIOUX CITY,IA,51101,WOODBURY,(712) 279-2010,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,1,,7,7,0,5,2,,8,7,1,6,0,,11,9,0,8,1,,8,8,,12,8,,,42.5007998,-96.4188393
160067,MERCYONE WATERLOO MEDICAL CENTER,3421 WEST NINTH STREET,WATERLOO,IA,50702,BLACK HAWK,(319) 272-8000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,4,,7,5,0,5,0,,8,7,1,6,0,,11,10,1,9,0,,8,8,,12,10,,,42.4614809,-92.3460257
250007,MERIT HEALTH BILOXI,150 REYNOIR STREET,BILOXI,MS,39530,HARRISON,(228) 432-1571,Acute Care Hospitals,Proprietary,Yes,Y,Y,2,,7,3,0,3,0,,8,3,1,2,0,,11,6,0,6,0,,8,8,,12,9,,,30.3959578,-88.8896089
250072,MERIT HEALTH CENTRAL,1850 CHADWICK DR,JACKSON,MS,39204,HINDS,(601) 376-1000,Acute Care Hospitals,Proprietary,Yes,Y,Y,2,,7,7,0,7,0,,8,5,1,4,0,,11,8,0,8,0,,8,8,,12,8,,,32.2878067,-90.2543717
250038,MERIT HEALTH MADISON,161 RIVER OAKS DRIVE,CANTON,MS,39046,MADISON,(601) 855-4000,Acute Care Hospitals,Proprietary,Yes,Y,,Not Available,16,7,1,0,1,0,,8,2,0,2,0,,11,4,0,4,0,,8,8,,12,7,,,32.5813311,-90.0830768
250084,MERIT HEALTH NATCHEZ,52 SERGEANT PRENTISS DRIVE,NATCHEZ,MS,39120,ADAMS,(601) 443-2100,Acute Care Hospitals,Proprietary,Yes,Y,Y,2,,7,4,0,3,1,,8,2,1,1,0,,11,6,0,6,0,,8,8,,12,10,,,31.5279831,-91.3884516
250138,MERIT HEALTH RIVER OAKS,1030 RIVER OAKS DRIVE,FLOWOOD,MS,39232,RANKIN,(601) 932-1030,Acute Care Hospitals,Proprietary,Yes,Y,Y,1,,7,3,0,3,0,,8,6,0,6,0,,11,7,1,6,0,,8,8,,12,9,,,32.3254871,-90.1053085
250031,MERIT HEALTH RIVER REGION,2100 HWY 61 N,VICKSBURG,MS,39183,WARREN,(601) 883-5000,Acute Care Hospitals,Proprietary,Yes,Y,Y,2,,7,5,0,5,0,,8,5,1,4,0,,11,7,0,5,2,,8,8,,12,10,,,32.3743711,-90.8248902
250094,MERIT HEALTH WESLEY,5001 W HARDY ST,HATTIESBURG,MS,39402,LAMAR,(601) 268-8000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,7,0,6,1,,8,8,0,8,0,,11,8,0,7,1,,8,8,,12,8,,,31.325979,-89.3664057
250136,MERIT HEALTH WOMEN'S HOSPITAL,1026 RIVER OAKS DRIVE,FLOWOOD,MS,39232,RANKIN,(601) 932-1000,Acute Care Hospitals,Proprietary,No,Y,Y,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,1,0,1,0,,11,1,0,1,0,,8,8,,12,3,,,32.325801,-90.1066882
210001,MERITUS MEDICAL CENTER,11116 MEDICAL CAMPUS ROAD,HAGERSTOWN,MD,21742,WASHINGTON,(240) 313-9500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,6,0,6,0,,8,8,2,5,1,,11,10,0,8,2,,8,8,,12,9,,,39.6224259,-77.6845702
281328,MERRICK MEDICAL CENTER,"PO BOX 417, 2802 28TH ST",CENTRAL CITY,NE,68826,MERRICK,(308) 946-3015,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5,12,5,,,41.1038878,-98.0203753
454124,MESA SPRINGS,5560 MESA SPRINGS DRIVE,FORT WORTH,TX,76123,TARRANT,(817) 292-4600,Psychiatric,Proprietary,Yes,,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,,32.639779,-97.4128713
291307,MESA VIEW REGIONAL HOSPITAL,1299 BERTHA HOWE AVENUE,MESQUITE,NV,89027,CLARK,(702) 346-8040,Critical Access Hospitals,Proprietary,Yes,Y,,1,,7,3,0,3,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,7,1,6,0,,8,8,,12,8,,,36.8100351,-114.1159045
450723,METHODIST CHARLTON MEDICAL CENTER,3500 W WHEATLAND ROAD,DALLAS,TX,75237,DALLAS,(214) 947-7777,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,0,7,0,,8,8,2,6,0,,11,9,0,8,1,,8,8,,12,9,,,32.6462777,-96.8771601
450051,METHODIST DALLAS MEDICAL CENTER,1441 NORTH BECKLEY AVENUE,DALLAS,TX,75203,DALLAS,(214) 947-2879,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,3,,7,7,0,7,0,,8,7,1,6,0,,11,7,0,7,0,,8,8,,12,10,,,32.7610809,-96.8253452
280077,METHODIST FREMONT HEALTH,450 EAST 23RD ST,FREMONT,NE,68025,DODGE,(402) 727-3381,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,4,0,4,0,,8,3,0,3,0,,11,7,0,7,0,,8,8,,12,11,,,41.4532633,-96.4915008
250167,METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL,4250 BETHEL ROAD,OLIVE BRANCH,MS,38654,DE SOTO,(662) 932-9000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,5,,7,5,0,5,0,,8,3,1,2,0,,11,4,0,4,0,,8,8,,12,9,,,34.9221755,-89.7922292
450388,METHODIST HOSPITAL,7700 FLOYD CURL DR,SAN ANTONIO,TX,78229,BEXAR,(210) 575-4000,Acute Care Hospitals,Proprietary,Yes,Y,Y,4,,7,7,2,5,0,,8,8,4,4,0,,11,11,0,10,1,,8,8,,12,10,,,29.5074274,-98.5724375
670055,METHODIST HOSPITAL  STONE OAK,"1139 E SONTERRA BLVD,",SAN ANTONIO,TX,78258,BEXAR,(210) 638-2101,Acute Care Hospitals,Proprietary,Yes,Y,Y,4,,7,7,0,7,0,,8,8,2,6,0,,11,9,0,7,2,,8,8,,12,9,,,29.6162229,-98.4743864
450165,METHODIST HOSPITAL ATASCOSA,1905 HWY 97 EAST,JOURDANTON,TX,78026,ATASCOSA,(830) 769-3515,Acute Care Hospitals,Proprietary,Yes,Y,,Not Available,16,7,2,0,2,0,,8,2,0,2,0,,11,4,2,2,0,,8,8,,12,7,,,28.9331124,-98.5260352
670073,METHODIST HOSPITAL FOR SURGERY,17101 DALLAS PARKWAY,ADDISON,TX,75001,DALLAS,(469) 248-3900,Acute Care Hospitals,Proprietary,Yes,,,4,,7,Not Available,Not Available,Not Available,Not Available,5,8,4,0,4,0,,11,3,0,3,0,,8,8,,12,4,,,32.9847663,-96.8294054
140197,METHODIST HOSPITAL OF CHICAGO,5025 N PAULINA STREET,CHICAGO,IL,60640,COOK,(773) 271-9040,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,1,0,1,0,,11,1,0,1,0,,8,Not Available,5,12,5,,,41.9732053,-87.6708136
50590,METHODIST HOSPITAL OF SACRAMENTO,7500 HOSPITAL DRIVE,SACRAMENTO,CA,95823,SACRAMENTO,(916) 423-6010,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,5,0,5,0,,8,5,1,4,0,,11,6,0,5,1,,8,8,,12,9,,,38.4631026,-121.4163317
181306,METHODIST HOSPITAL UNION COUNTY,4604 US HIGHWAY 60 WEST,MORGANFIELD,KY,42437,UNION,(270) 389-5000,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,1,0,1,0,,11,2,0,2,0,,8,Not Available,5,12,5,,,37.6285121,-87.9476742
150002,METHODIST HOSPITALS INC,600 GRANT ST,GARY,IN,46402,LAKE,(219) 886-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,1,,7,6,0,6,0,,8,6,2,4,0,,11,9,0,5,4,,8,8,,12,10,,,41.5997696,-87.3579627
440049,METHODIST HOSPITALS OF MEMPHIS,1265 UNION AVE SUITE 700,MEMPHIS,TN,38104,SHELBY,(901) 516-8274,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,4,,7,7,0,7,0,,8,8,5,3,0,,11,11,1,10,0,,8,8,,12,11,,,35.1358666,-90.0192884
160047,METHODIST JENNIE EDMUNDSON,933 EAST PIERCE STREET,COUNCIL BLUFFS,IA,51503,POTTAWATTAMIE,(712) 396-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,6,0,5,1,,8,7,0,7,0,,11,8,0,6,2,,8,8,,12,9,,,41.2682588,-95.8343123
670023,METHODIST MANSFIELD MEDICAL CENTER,2700 E BROAD STREET,MANSFIELD,TX,76063,TARRANT,(682) 622-2059,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,0,7,0,,8,6,1,5,0,,11,8,0,7,1,,8,8,,12,9,,,32.5678916,-97.0946936
670069,METHODIST MCKINNEY HOSPITAL,8000 W ELDORADO PKWY BLDG C SUITE C,MCKINNEY,TX,75070,COLLIN,(214) 491-5710,Acute Care Hospitals,Proprietary,Yes,,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,2,0,1,1,,11,3,0,3,0,,8,8,,12,4,,,33.1766095,-96.7224858
140209,METHODIST MEDICAL CENTER OF ILLINOIS,221 N E GLEN OAK AVE,PEORIA,IL,61636,PEORIA,(309) 672-5522,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,7,0,7,0,,8,7,2,5,0,,11,9,0,9,0,,8,8,,12,10,,,40.7006002,-89.5955239
440034,METHODIST MEDICAL CENTER OF OAK RIDGE,990 OAK RIDGE TURNPIKE BOX 529,OAK RIDGE,TN,37830,ANDERSON,(865) 835-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,7,0,7,0,,8,7,3,4,0,,11,9,0,9,0,,8,8,,12,9,,,36.0246916,-84.2448373
670300,METHODIST MIDLOTHIAN MEDICAL CENTER,1201 E HIGHWAY 287,MIDLOTHIAN,TX,76065,ELLIS,(469) 846-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,Not Available,Not Available,Not Available,Not Available,5,8,3,0,3,0,,11,3,0,3,0,,8,8,,12,7,,,32.4672924,-96.9803945
450537,METHODIST RICHARDSON MEDICAL CENTER,2831 E PRESIDENT GEORGE BUSH HIGHWAY,RICHARDSON,TX,75082,COLLIN,(469) 204-1000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,3,,7,7,0,6,1,,8,7,2,5,0,,11,11,0,10,1,,8,8,,12,10,,,32.9958564,-96.6663178
670132,METHODIST SOUTHLAKE MEDICAL CENTER,421 E STATE HIGHWAY 114,SOUTHLAKE,TX,76092,TARRANT,(878) 654-4400,Acute Care Hospitals,Proprietary,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,2,0,2,0,,11,3,0,3,0,,8,Not Available,5,12,4,,,32.9568059,-97.1459195
440111,METRO NASHVILLE GENERAL HOSPITAL,1818 ALBION STREET,NASHVILLE,TN,37208,DAVIDSON,(615) 341-4490,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,Y,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,4,0,4,0,,11,1,0,1,0,,8,Not Available,5,12,8,,,36.1671809,-86.8072052
360059,METROHEALTH SYSTEM,2500 METROHEALTH DRIVE,CLEVELAND,OH,44109,CUYAHOGA,(216) 778-7800,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,3,,7,6,0,6,0,,8,8,2,6,0,,11,10,0,9,1,,8,8,,12,11,,,41.4607746,-81.6987862
400106,METROPOLITAN HOSPITAL,CARRETERA 21 1785 URB LAS LOMAS,SAN JUAN,PR,915,SAN JUAN,(787) 782-9999,Acute Care Hospitals,Proprietary,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5,12,1,,,18.3897577,-66.098542
330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NEW YORK,(212) 423-6262,Acute Care Hospitals,Government - Local,Yes,Y,Y,1,,7,1,0,1,0,,8,6,1,5,0,,11,3,0,3,0,,8,8,,12,7,,,40.7852328,-73.945029
220175,METROWEST MEDICAL CENTER,115 LINCOLN STREET,FRAMINGHAM,MA,1701,MIDDLESEX,(508) 383-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,2,,7,5,1,4,0,,8,5,0,5,0,,11,10,0,10,0,,8,8,,12,10,,,42.2851053,-71.4187426
360161,MH ST JOSEPH WARREN HOSPITAL,667 EASTLAND AVE SE,WARREN,OH,44484,TRUMBULL,(330) 841-4016,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,6,0,6,0,,8,7,1,6,0,,11,9,0,9,0,,8,8,,12,10,,,41.2308581,-80.7770344
170109,MIAMI COUNTY MEDICAL CENTER,2100 BAPTISTE DRIVE,PAOLA,KS,66071,MIAMI,(913) 557-4385,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,4,1,3,0,,8,8,,12,7,,,38.569485,-94.8491211
10064F,MIAMI VA MEDICAL CENTER,1201 N W 16TH STREET,MIAMI,FL,33125,MIAMI-DADE,(305) 324-4455,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,,3,,7,5,1,4,0,,8,4,1,2,1,,11,5,0,3,2,,8,8,,12,6,,,25.7913865,-80.2162713
360051,MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,DAYTON,OH,45409,MONTGOMERY,(937) 208-3023,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,1,6,0,,8,8,4,4,0,,11,11,0,9,2,,8,8,,12,11,,,39.745934,-84.17782
154047,MICHIANA BEHAVIORAL HEALTH CENTER,1800 N OAK RD,PLYMOUTH,IN,46563,MARSHALL,(574) 936-3784,Psychiatric,Voluntary non-profit - Other,Yes,,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,,41.3562796,-86.3288168
200021,MID COAST HOSPITAL,123 MEDICAL CENTER DRIVE,BRUNSWICK,ME,4011,CUMBERLAND,(207) 729-0181,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,5,0,5,0,,8,6,0,6,0,,11,7,0,7,0,,8,8,,12,11,,,43.9063453,-69.8907521
451396,MID COAST MEDICAL CENTER - CENTRAL,200 W OLLIE,LLANO,TX,78643,LLANO,(325) 247-5040,Critical Access Hospitals,Physician,Yes,,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,5,12,3,,,30.7427697,-98.6775504
334061,MID HUDSON FORENSIC PSYCHIATRIC CTR,BOX 158 ROUTE 17M,NEW HAMPTON,NY,10958,ORANGE,(845) 374-3171,Psychiatric,Government - State,No,,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,,41.4249226,-74.4287156
501328,MID VALLEY HOSPITAL,810 JASMINE STREET,OMAK,WA,98841,OKANOGAN,(509) 826-1760,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,2,0,2,0,,8,8,,12,7,,,48.3970355,-119.5475903
380001,MID-COLUMBIA MEDICAL CENTER,1700 E 19TH STREET,THE DALLES,OR,97058,WASCO,(541) 296-1111,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,,2,,7,4,0,4,0,,8,2,0,2,0,,11,8,1,7,0,,8,8,,12,9,,,45.5874991,-121.1636182
61318,MIDDLE PARK MEDICAL CENTER,214 S 4TH ST,KREMMLING,CO,80459,GRAND,(970) 724-3442,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,1,0,1,0,,11,3,0,3,0,,8,Not Available,5,12,3,,,40.0569803,-106.3904566
444014,MIDDLE TN MENTAL HEALTH INSTITUTE,221 STEWARTS FERRY PIKE,NASHVILLE,TN,37214,DAVIDSON,(615) 902-7565,Psychiatric,Government - State,No,,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,,36.1662156,-86.6464354
180020,MIDDLESBORO ARH HOSPITAL,3600 WEST CUMBERLAND AVENUE,MIDDLESBORO,KY,40965,BELL,(606) 242-1100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,2,0,1,1,,8,3,0,3,0,,11,4,0,4,0,,8,8,,12,8,,,36.6063614,-83.7404992
70020,MIDDLESEX HOSPITAL,28 CRESCENT ST,MIDDLETOWN,CT,6457,MIDDLESEX,(860) 344-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,6,0,6,0,,8,7,1,6,0,,11,7,0,7,0,,8,8,,12,11,,,41.5539781,-72.6476449
450133,MIDLAND MEMORIAL HOSPITAL,400 ROSALIND REDFERN GROVER PARKWAY,MIDLAND,TX,79701,MIDLAND,(432) 685-1111,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,2,,7,7,0,7,0,,8,7,2,5,0,,11,9,1,7,1,,8,8,,12,11,,,31.9961626,-102.0995032
70017,MIDSTATE MEDICAL CENTER,435 LEWIS AVENUE,MERIDEN,CT,6450,NEW HAVEN,(203) 694-8200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,6,0,6,0,,8,7,2,5,0,,11,7,0,7,0,,8,8,,12,9,,,41.5493533,-72.8007712
141302,MIDWEST MEDICAL CENTER,1 MEDICAL CENTER DRIVE,GALENA,IL,61036,JO DAVIESS,(815) 777-1340,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,1,0,1,0,,11,2,0,2,0,,8,8,,12,1,,,42.4490472,-90.4577082
520205,MIDWEST ORTHOPEDIC SPECIALTY HOSPITAL,10101 SOUTH 27TH ST  2ND FLOOR,FRANKLIN,WI,53132,MILWAUKEE,(414) 817-5800,Acute Care Hospitals,Physician,No,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,2,0,2,0,,11,3,0,3,0,,8,8,,12,2,,,42.8600366,-87.9541568
280131,MIDWEST SURGICAL HOSPITAL LLC,7915 FARNAM DRIVE,OMAHA,NE,68114,DOUGLAS,(402) 399-1900,Acute Care Hospitals,Physician,No,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,2,0,2,0,,11,3,0,2,1,,8,8,,12,3,,,41.25751,-96.0370314
140100,"MIDWESTERN REGION MED CENTER, INC",2520 ELISHA AVENUE,ZION,IL,60099,LAKE,(847) 872-4561,Acute Care Hospitals,Proprietary,Yes,,,5,,7,Not Available,Not Available,Not Available,Not Available,5,8,3,0,3,0,,11,5,0,5,0,,8,8,,12,7,,,42.4490303,-87.8278042
431326,MILBANK AREA HOSPITAL/AVERA HEALTH,301 FLYNN DRIVE,MILBANK,SD,57252,GRANT,(605) 432-4538,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5,12,2,,,45.221913,-96.6175485
514009,MILDRED MITCHELL-BATEMAN HOSPITAL,1530 NORWAY AVENUE,HUNTINGTON,WV,25705,CABELL,(304) 525-7801,Psychiatric,Government - State,No,,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,,38.411528,-82.41356
520109,MILE BLUFF MEDICAL CENTER,1050 DIVISION ST,MAUSTON,WI,53948,JUNEAU,(608) 847-6161,Acute Care Hospitals,Proprietary,Yes,Y,Y,Not Available,16,7,2,0,2,0,,8,1,0,1,0,,11,7,1,6,0,,8,8,,12,9,,,43.7828148,-90.0756003
461305,MILFORD MEMORIAL HOSPITAL,850 NORTH MAIN STREET,MILFORD,UT,84751,BEAVER,(435) 387-2411,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,5,12,1,,,38.4071994,-113.0090726
220090,MILFORD REGIONAL MEDICAL CENTER,14 PROSPECT STREET,MILFORD,MA,1757,WORCESTER,(508) 473-1190,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,4,,7,6,1,5,0,,8,7,2,5,0,,11,7,0,6,1,,8,8,,12,12,,,42.1333439,-71.5288105
390198,MILLCREEK COMMUNITY HOSPITAL,5515 PEACH STREET,ERIE,PA,16509,ERIE,(814) 864-4031,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,2,,7,2,0,2,0,,8,3,0,3,0,,11,5,0,5,0,,8,Not Available,5,12,6,,,42.0742902,-80.0922523
241356,MILLE LACS HEALTH SYSTEM,200 NORTH ELM STREET,ONAMIA,MN,56359,MILLE LACS,(320) 532-3154,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5,12,6,,,46.0733787,-93.6626523
111305,MILLER COUNTY HOSPITAL,209 N CUTHBERT STREET,COLQUITT,GA,39837,MILLER,(229) 758-4231,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5,12,6,,,31.1753732,-84.7353924
201307,MILLINOCKET REGIONAL HOSPITAL,200 SOMERSET STREET,MILLINOCKET,ME,4462,PENOBSCOT,(207) 723-5161,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,2,0,1,1,,8,8,,12,1,,,45.6529249,-68.7159871
454012,MILLWOOD HOSPITAL,1011 NORTH COOPER STREET,ARLINGTON,TX,76011,TARRANT,(817) 261-3121,Psychiatric,Proprietary,No,,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,,32.7509201,-97.1124275
